"","canonical_operator","canonical_name"
"1","AC Transit","1 Berkeley BART to Bay Fair BART"
"2","AC Transit","11 Dimond District Oakland"
"3","AC Transit","12 Berkeley BART to Downtown Oakland"
"4","AC Transit","14 Downtown Oakland to Fruitvale BART"
"5","AC Transit","18 University Village Albany to Montclair"
"6","AC Transit","20 Dimond District Oakland to downtown Oakland"
"7","AC Transit","200 Union City BART Fremont BART"
"8","AC Transit","212 Fremont BART to NewPark Mall"
"9","AC Transit","217 Fremont BART to Great Mall"
"10","AC Transit","22 Hayward BART"
"11","AC Transit","239 Fremont BART to Warm Springs Blvd. & Dixon Landing Rd."
"12","AC Transit","26 Emery Bay Public Market to Lakeshore Ave."
"13","AC Transit","376 El Cerrito Del Norte BART to Richmond Parkway Transit Center"
"14","AC Transit","386 Hayward BART to Sabre St. & Mack St. (AC Transit Hayward Division)"
"15","AC Transit","40 Downtown Oakland to Bay Fair BART"
"16","AC Transit","45 Eastmont Transit Center to Foothill Square Oakland"
"17","AC Transit","46 Coliseum BART to Oakland Zoo"
"18","AC Transit","46L Coliseum BART - Mountain - Golf Links Rd - Dunkirk Ave"
"19","AC Transit","47 Fruitvale BART to Maxwell Park"
"20","AC Transit","48 Hayward BART to Bay Fair BART"
"21","AC Transit","49 Rockridge BART to Berkeley BART"
"22","AC Transit","51A Rockridge BART to Fruitvale BART"
"23","AC Transit","51B Rockridge BART to Berkeley Amtrak"
"24","AC Transit","54 Fruitvale BART to Merritt College"
"25","AC Transit","57 Emeryville to Foothill Square Oakland"
"26","AC Transit","60 Hayward BART to Cal State East Bay"
"27","AC Transit","62 West Oakland BART to Fruitvale BART"
"28","AC Transit","65 Berkeley BART to Lawrence Hall of Science"
"29","AC Transit","7 El Cerrito del Norte BART"
"30","AC Transit","70 Richmond BART to Richmond Pkwy. Transit Center"
"31","AC Transit","72 Hilltop Mall to Oakland Amtrak"
"32","AC Transit","72M Point Richmond to Oakland Amtrak"
"33","AC Transit","72R San Pablo Rapid -- Contra Costa College to Jack London Square"
"34","AC Transit","73 Eastmont Transit Center to Oakland Airport"
"35","AC Transit","74 Marina Bay Richmond to San Pablo Dam Rd. El Sobrante"
"36","AC Transit","75 San Leandro BART to Bay Fair BART"
"37","AC Transit","76 El Cerrito del Norte BART to Hilltop Mall"
"38","AC Transit","800 All Nighter. Richmond BART to Market St. and Van Ness Ave. S.F."
"39","AC Transit","83 Hayward BART to South Hayward BART"
"40","AC Transit","85 San Leandro BART to South Hayward BART"
"41","AC Transit","851 All Nighter. Downtown Berkeley to Fruitvale BART"
"42","AC Transit","88 Berkeley BART to Lake Merritt BART"
"43","AC Transit","89 San Leandro BART to Bay Fair BART"
"44","AC Transit","97 Bay Fair BART to Union City BART"
"45","AC Transit","98 Coliseum BART Edgewater Dr."
"46","AC Transit","99 Bay Fair BART to Fremont BART"
"47","AC Transit","B Lakeshore Ave. Oakland"
"48","AC Transit","C Highland Ave. Piedmont"
"49","AC Transit","CB Warren Freeway and Broadway Terr. Oakland"
"50","AC Transit","E Caldecott Ln. Oakland"
"51","AC Transit","F UC Campus Berkeley"
"52","AC Transit","FS Solano Ave. Berkeley"
"53","AC Transit","G Richmond St. & Potrero St. El Cerrito"
"54","AC Transit","H Barrett Ave. & San Pablo Ave. El Cerrito"
"55","AC Transit","J Sacramento St. and University Ave. Berkeley"
