ID,Date,AM_PM_Trip,Origin_Type,Origin,Origin_Type,Destination_Type,Destination,Destination_Type,Origin_Access_Mode,1st_Before_Transfer,1st_Before_Transfer_Agency,Destination_Egress_Mode,Employment_status,Work,Student_Status,School,Work_Before_or_After_Trip,Work_After_Trip,Work_Before_Trip,School_Before_or_After_Trip,School_After_Trip,School_Before_Trip,Time_Left_Home,Time_Return_Home,Fare_Payment_(Ticket),Fare_Payment_Other,Fare_Type,Fare_Type_Other,Driver's_License,#_of_Employed_in_Household,#_of_Employed_in_Household_Other,#_of_Drivable_Veh._in_House,#_of_Drivable_Veh._in_House_Other,Year_of_Birth,"Hispanic,_Latino,_or_of_Spanish_Origin_",Race_Ethnicity,Other_Ethnicity,Language_Other_Than_English,Language,Other_Language,English_Fluency,Total_Household_Income,Gender,Weight,#_of_Transfers_
144162,04/09/2014,2,1,Origin,Work,3,Dest,Home,4,2,,3,,,1,,,2,,,,,2,14,4,,2,,1,3,,4,,48,3,1,,2,,,,6,1,8.3158,1
144163,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,5,14,4,,1,,1,2,,2,,76,2,3,,1,12,Telugu,1,7,1,9.875,1
144164,04/09/2014,2,1,Origin,Work,3,Dest,Home,4,1,8,3,,,1,,,2,,,,,2,15,3,,1,,1,7,7,3,,52,3,1,,2,,,,7,1,4.9286,2
144165,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,1,15,3,,1,,1,2,,4,,55,2,1,,2,,,,7,1,5.7368,1
144166,04/09/2014,2,1,Origin,Work,3,Dest,Home,4,1,8,3,,,1,,,2,,,,,2,15,4,,1,,1,2,,2,,86,1,7,Mexican American,2,,,,1,2,6.7234,2
144167,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,2,16,3,,1,,1,5,,4,,67,2,1,,2,,,,6,1,6.7234,2
144168,04/09/2014,2,1,Origin,Work,3,Dest,Home,3,2,,3,,,1,,,2,,,,,4,15,4,,1,,1,2,,5,4,72,2,1,,2,,,,8,1,8.4694,1
144169,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,2,15,4,,1,,1,3,,3,,69,1,7,Mexican American,1,1,,1,6,2,6.7234,2
144170,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,13,5,,,1,,,2,,,,,2,17,3,,1,,1,3,,2,,77,2,1,,2,,,,7,1,8.5,3
144171,04/09/2014,2,1,Origin,Work,3,Dest,Home,2,2,,2,,,1,,,2,,,,,2,16,3,,2,,1,3,,4,,48,2,1,,2,,,,5,1,6.7234,1
144172,04/09/2014,2,1,Origin,Work,3,Dest,Home,4,2,,3,,,1,,,2,,,,,2,16,3,,1,,1,3,,3,,62,2,1,,1,8,,1,6,1,9.3684,2
144173,04/15/2014,1,3,Origin,Home,1,Dest,Work,1,2,,1,,,1,,,,2,,,,1,16,1,,1,,1,2,,2,,86,2,2,,2,,,,4,1,5.9333,1
144177,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,4,,,1,,,,,,,,1,14,4,,1,,1,2,,5,4,59,2,2,,2,,,,6,1,6.7234,1
144179,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,1,15,2,,1,,1,4,,4,,64,2,2,,2,,,,6,1,8.4694,2
144181,04/15/2014,1,3,Origin,Home,1,Dest,Work,1,2,,1,,,1,,,,2,,,,2,14,4,,1,,1,2,,2,,69,3,1,,2,,,,5,1,5.7368,1
144184,04/15/2014,1,3,Origin,Home,1,Dest,Work,1,2,,1,,,1,,,,2,,,,2,14,4,,1,,1,3,,3,,76,2,3,,2,,,,6,2,9.8636,2
144185,04/16/2014,1,3,Origin,Home,1,Dest,Work,5,2,,1,,,1,,,,2,,,,2,13,4,,1,,1,3,,3,,51,2,5,,2,,,,7,2,5.9333,2
144186,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,13,3,,1,,1,3,,3,,68,2,2,,2,,,,7,1,5.9333,2
144193,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,13,3,,2,,1,3,,3,,0,2,1,,2,,,,10,2,6.7234,2
144194,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,14,3,,1,,1,2,,3,,52,2,2,,2,,,,7,2,10.5333,2
144195,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,13,4,,1,,1,2,,2,,61,2,2,,2,,,,5,2,8.4694,2
144197,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,4,13,4,,1,,1,2,,5,7,64,2,1,,2,,,,8,1,5.52,2
