info_type,generic_variable,variable_type,data_type,valid_values_for_categoric_variables,standard_values_for_categoric_variables,other_requirements,,
basic survey info,ID,numerical,integer,,,identical,,
basic survey info,route,non-categorical,string,,,,,
basic survey info,date_string,non-categorical,string,,,,,
basic survey info,time_string,non-categorical,string,,,,,
basic survey info,survey_alight_lat,numerical,float,,,,,
basic survey info,survey_alight_lon,numerical,float,,,,,
basic survey info,survey_board_lat,numerical,float,,,,,
basic survey info,survey_board_lon,numerical,float,,,,,
trip info,orig_purp,categoric,string,Home,home,,,
trip info,orig_purp,categoric,string,Work,work,,,
trip info,orig_purp,categoric,string,Work related,work-related,,,
trip info,orig_purp,categoric,string,Business Appointment,business apt,,,
trip info,orig_purp,categoric,string,College or University (students only),school,,,
trip info,orig_purp,categoric,string,School (K-12) (student only),school,,,
trip info,orig_purp,categoric,string,School,school,,,
trip info,orig_purp,categoric,string,Dining / coffee,eat out,,,
trip info,orig_purp,categoric,string,Eat out,eat out,,,
trip info,orig_purp,categoric,string,Social / recreation,social recreation,,,
trip info,orig_purp,categoric,string,Escorting Others,escorting,,,
trip info,orig_purp,categoric,string,Shopping,shopping,,,
trip info,orig_purp,categoric,string,Airport (airline passengers only),other discretionary,,,
trip info,orig_purp,categoric,string,Hotel (guests only),other discretionary,,,
trip info,orig_purp,categoric,string,"Personal business (DMV, bank, library, etc.)",other maintenance,,,
trip info,orig_purp,categoric,string,Medical / dental,other maintenance,,,
trip info,orig_purp,categoric,string,Other Maintenance,other maintenance,,,
trip info,orig_purp,categoric,string,Other,other,,,
trip info,orig_lat,numerical,float,,,,,
trip info,orig_lon,numerical,float,,,,,
trip info,access_mode,categoric,string,walk,walk,,,
trip info,access_mode,categoric,string,bike,bike,,,
trip info,access_mode,categoric,string,personal bike,bike,,,
trip info,access_mode,categoric,string,bike share,bike,,,
trip info,access_mode,categoric,string,drove alone and parked,pnr,,,
trip info,access_mode,categoric,string,drove or rode with others and parked,pnr,,,
trip info,access_mode,categoric,string,was dropped off by someone (not a service),knr,,,
trip info,access_mode,categoric,string,"was dropped off by Uber, Lyft or a similiar service",knr,,,
trip info,access_mode,categoric,string,taxi,knr,,,
trip info,access_mode,categoric,string,shuttle,walk,,,
trip info,access_mode,categoric,string,scooter,bike,,,
trip info,access_mode,categoric,string,skateboard/longboard,walk,,,
trip info,access_mode,categoric,string,wheelchair,walk,,,
trip info,access_mode,categoric,string,school bus,walk,,,
trip info,access_mode,categoric,string,motorcycle,bike,,,
trip info,access_mode,categoric,string,other,other,,,
trip info,first_board_lat,numerical,float,,,,,
trip info,first_board_lon,numerical,float,,,,,
trip info,number_transfers_orig_board,numerical,integer,,,,,
trip info,first_route_before_survey_board,non-categorical,string,,,contains operator and route info,,
trip info,second_route_before_survey_board,non-categorical,string,,,contains operator and route info,,
trip info,third_route_before_survey_board,non-categorical,string,,,contains operator and route info,,
trip info,number_transfers_alight_dest,numerical,integer,,,,,
trip info,first_route_after_survey_alight,non-categorical,string,,,contains operator and route info,,
trip info,second_route_after_survey_alight,non-categorical,string,,,contains operator and route info,,
trip info,third_route_after_survey_alight,non-categorical,string,,,contains operator and route info,,
trip info,egress_mode,categoric,string,walk,walk,,,
trip info,egress_mode,categoric,string,bike,bike,,,
trip info,egress_mode,categoric,string,personal bike,bike,,,
trip info,egress_mode,categoric,string,bike share,bike,,,
trip info,egress_mode,categoric,string,get in a parked vehicle and drive alone,pnr,,,
trip info,egress_mode,categoric,string,get in a parked vehicle and drive with others,pnr,,,
trip info,egress_mode,categoric,string,be picked up by someone (not a service),knr,,,
trip info,egress_mode,categoric,string,"be picked up by Uber, Lyft or similar service",knr,,,
trip info,egress_mode,categoric,string,taxi,knr,,,
trip info,egress_mode,categoric,string,shuttle,walk,,,
trip info,egress_mode,categoric,string,scooter,bike,,,
trip info,egress_mode,categoric,string,skateboard/longboard,walk,,,
trip info,egress_mode,categoric,string,wheelchair,walk,,,
trip info,egress_mode,categoric,string,school bus,walk,,,
trip info,egress_mode,categoric,string,motorcycle,bike,,,
trip info,egress_mode,categoric,string,other,other,,,
trip info,last_alight_lat,numerical,float,,,,,
trip info,last_alight_lon,numerical,float,,,,,
trip info,dest_purp,categoric,string,Home,home,,,
trip info,dest_purp,categoric,string,Work,work,,,
trip info,dest_purp,categoric,string,Work related,work-related,,,
trip info,dest_purp,categoric,string,Business Appointment,business apt,,,
trip info,dest_purp,categoric,string,College or University (students only),school,,,
trip info,dest_purp,categoric,string,School (K-12) (student only),school,,,
trip info,dest_purp,categoric,string,School,school,,,
trip info,dest_purp,categoric,string,Dining / coffee,eat out,,,
trip info,dest_purp,categoric,string,Eat out,eat out,,,
trip info,dest_purp,categoric,string,Social / recreation,social recreation,,,
trip info,dest_purp,categoric,string,Escorting Others,escorting,,,
trip info,dest_purp,categoric,string,Shopping,shopping,,,
trip info,dest_purp,categoric,string,Airport (airline passengers only),other discretionary,,,
trip info,dest_purp,categoric,string,Hotel (guests only),other discretionary,,,
trip info,dest_purp,categoric,string,"Personal business (DMV, bank, library, etc.)",other maintenance,,,
trip info,dest_purp,categoric,string,Medical / dental,other maintenance,,,
